User Name,First Name,Last Name,Email,Password,Phone,Language Preference,Roles,Groups,DorakuUserCode
bulkuploaduserupdate01,Bulkupload,Userupdate01,soham.utpat+bulkupdate1@joshsoftware.com,Test@123,+919099999909,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate02,Bulkupload,Userupdate02,soham.utpat+bulkupdate2@joshsoftware.com,Test@123,+919099999910,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate03,Bulkupload,Userupdate03,soham.utpat+bulkupdate3@joshsoftware.com,Test@123,+919099999911,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate04,Bulkupload,Userupdate04,soham.utpat+bulkupdate4@joshsoftware.com,Test@123,+919099999912,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate05,Bulkupload,Userupdate05,soham.utpat+bulkupdate5@joshsoftware.com,Test@123,+919099999913,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate06,Bulkupload,Userupdate06,soham.utpat+bulkupdate6@joshsoftware.com,Test@123,+919099999914,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate07,Bulkupload,Userupdate07,soham.utpat+bulkupdate7@joshsoftware.com,Test@123,+919099999915,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate08,Bulkupload,Userupdate08,soham.utpat+bulkupdate8@joshsoftware.com,Test@123,+919099999916,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate09,Bulkupload,Userupdate09,soham.utpat+bulkupdate9@joshsoftware.com,Test@123,+919099999917,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
bulkuploaduserupdate10,Bulkupload,Userupdate10,soham.utpat+bulkupdate10@joshsoftware.com,Test@123,+919099999918,ENG,"MOBILE,HQ,DELETE,APPROVER",9099999909,
